x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
-Inf,-3.879435251614459,-3.5252928704343285,-3.094680065084644,-2.3727540187185916,-1.6473371391772036,-0.4518708803841739,Inf,Inf,Inf
-Inf,-4.077125961961823,-3.3133986406178897,-2.7814021235333475,-1.8752018185793582,-1.0738071961675322,0.30071138087651256,Inf,Inf,Inf
-Inf,-2.4208864346002392,-2.069913221906991,-1.6614707493052823,-1.1613360510439281,-0.7783037090979185,0.3175905712289683,Inf,Inf,Inf
-Inf,-3.324658327390478,-2.634607693898414,-2.1384107768425853,-1.2382086330762652,-0.45615122554743026,0.9121498605717471,Inf,Inf,Inf
-Inf,-3.1024259600803465,-2.754431755671349,-2.4159352573069413,-1.549028775139526,-0.7905839962749636,0.5094541053864381,Inf,Inf,Inf
-Inf,-2.04199980762328,-1.308269386994065,-0.7687630153543622,-0.20576257916150179,0.13876698448343516,0.9154044657280026,Inf,Inf,Inf
-Inf,-3.1450914359770334,-2.0378051546333067,-0.8364811166059732,0.4774273244659435,Inf,Inf,Inf,Inf,Inf
-Inf,-3.7769549790552306,-2.4085977839965276,-0.9394022490445916,0.47492660451945357,Inf,Inf,Inf,Inf,Inf
-Inf,-3.572619817292275,-2.2917332139947817,-1.032998896556737,0.3365548635246663,Inf,Inf,Inf,Inf,Inf
-Inf,-3.2955656217928335,-2.767701134511564,-2.2217325168826503,-1.9153466493098117,-1.2883571651842565,-0.8757200592397318,0.008731543519698884,0.7728780297613961,Inf
-Inf,-2.2163727893796823,-1.7101078480082132,-1.2167347488165523,-0.8544225496130528,-0.12648785624856557,0.1677108089374619,0.8101042941427263,1.612405611898565,Inf
-Inf,-2.0559168076255596,-1.502205098019225,-0.9321220025482366,-0.5365224144613318,0.1513940898424263,0.44861298578398684,1.0401233139331911,1.7025421396518388,Inf
-Inf,-1.8758439910404645,-1.4255330966197544,-0.9605545333177593,-0.668073854319976,0.1267554513426523,0.39390388766635553,0.950595904218964,1.5645388689536484,Inf
-Inf,-2.211703964340883,-1.646992943231449,-1.2039946737345393,-0.860091186044776,-0.12005004026300298,0.15864956103779437,0.6094873532334752,1.2508506363136374,Inf
-Inf,-2.343158760517697,-1.7657554226645114,-1.2214789791623422,-0.8190682045003065,-0.027276518473435016,0.3000545623400929,0.8407244681543697,1.4758513816174035,Inf
-Inf,-1.6603045427268008,-1.1809613400256567,-0.8016775179564223,-0.513270536987732,0.3417983171662843,0.7201945530909761,1.2754989206036467,1.7780802561027649,Inf
-Inf,-1.2510958302828121,-0.8503037334218582,-0.5467727554719468,-0.33095615132691336,0.3954761048229155,0.8368080788499146,1.2895635783522805,1.7049902731783833,Inf
-Inf,-1.8809417714844483,-1.4854752415697232,-1.159547858747342,-0.9259149726427421,-0.1235228060110751,0.2779460274016678,0.9418133117657392,1.425988923362066,Inf
-Inf,-1.9183957825438147,-1.539944777383671,-1.1970325715388745,-0.9919558403968363,-0.10890826367960964,0.31674486401419616,0.8442976193699162,1.3216670401789452,Inf
-Inf,-2.8810449529937485,-2.6085229866717676,-2.310348621512511,-1.9755969652401293,-1.3919443895637351,-0.9153121172449864,-0.25657418568639356,0.24314975088561466,Inf
-Inf,-2.9173440686357037,-2.648031534237176,-2.3066559516857112,-2.0410117491955924,-1.2806474304023778,-0.9429410221778219,-0.41145410919445535,0.035259779364052064,Inf
-Inf,-2.001927850185449,-1.7917612048668246,-1.4415946086649196,-1.3012065825874055,-0.8091916353487157,-0.4596499763894077,0.23098116857466106,0.7370736170999032,Inf
-Inf,-3.0220187843037953,-2.4316711104915862,-1.9280256507932223,-1.6443736127343291,-0.8556843178581207,-0.3325061439655946,0.49117304513308147,1.152104600255454,Inf
-Inf,-3.042634763125852,-2.5972172275817402,-2.1043065832224404,-1.7190997358590856,-0.9114016303052295,-0.3213845523668464,0.43760304987968984,1.0872351761416426,Inf
-Inf,-3.7372016254745968,-3.2499709686807483,-2.7698485416955885,-2.387855976756989,-1.5357995079293394,-0.9497263330917257,-0.12020817491563976,0.6177691040223755,Inf
